0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0036 0059 0010 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 039F 02D0 0077 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01B5 08E3 0716 015F 001B 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 08FC 0F45 063B 0000 0000 05CC 06B1 0333 00DE 0002 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 10A2 17BB 08E7 0000 0000 0000 0000 02B2 05A1 021F 0038 0002 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 08FE 1AA4 1299 0A07 0055 0000 0000 0000 0000 0000 00D0 019C 004E 0007 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 1AA6 20AE 1F86 1856 026C 0000 0000 0000 0000 0000 0518 05AC 0181 0025 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 1935 28D0 24DA 1557 0000 0000 0000 0000 0000 0000 01D8 0C6F 057C 019A 0015 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 10E8 2B10 27D5 0E97 0000 0000 0000 0000 0000 0000 0000 041F 0740 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0606 25D7 2C17 11E6 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 1F08 298A 16EB 0000 0000 0000 0000 0133 0402 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 1B20 2A9F 1E62 0000 0000 0000 0000 011D 010E 0034 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0DC7 26D2 22AD 0762 0000 0000 0000 00CA 00C0 0000 0000 0000 0000 0000 0000 029A 0312 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 1007 1932 0B31 0000 0000 0000 0000 0086 0000 0000 0000 0000 0000 0000 0B3B 0DAA 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0469 089E 0000 0000 0000 0000 0215 002C 0000 0000 0000 0000 0000 05AA 1690 068C 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 03FE 0000 0000 0000 00A2 002C 0000 0000 0000 0000 0000 0000 11BD 154F 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 00E6 0000 0000 0000 001A 0000 0000 0000 0000 0000 0000 08EA 2055 1474 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0011 0000 0000 0000 0000 0000 0000 1DAD 2973 0CCE 0000 0000 0000 0000 0000 0000 
0000 0000 0000 001F 0291 0236 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0E75 2705 1D7A 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 001E 0204 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0B07 2526 264C 07B3 0000 0000 0000 004B 002D 0000 0000 
0000 0000 0000 0005 0041 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 136F 27A4 2DCC 1893 0000 0000 0000 01A7 0093 001D 0000 0000 
0000 0000 0000 0000 0000 03E0 0C2A 04C0 0000 0000 0000 0000 0000 0000 0BEB 1915 1F50 21E6 1A95 0000 0000 0000 0000 009B 000E 0000 0000 0000 
0000 0000 0000 0000 0000 03AC 0838 0000 0000 0000 0000 0000 0000 0558 0FAD 144A 1597 14FD 0283 0000 0000 0000 02E3 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0042 0495 0AC2 0C17 0777 002F 0417 0AA5 1028 1635 196D 1674 075F 0000 0000 0000 008D 00BA 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0397 0C8B 0F2F 0B33 0E85 1352 1365 1331 1154 07F2 0000 0000 0000 0000 0000 014F 000E 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0035 030B 058A 0586 05EA 0000 0000 0000 0000 0000 0000 0000 0000 0000 01CE 004A 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00FA 010B 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00E4 008D 0000 0000 0000 0000 0000 0000 0000 0000 
