0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0003 0040 0175 0492 0907 0BD0 0A7D 064E 0249 0018 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0015 0198 08A6 1582 21EF 27F0 2300 169D 0A0D 00B7 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0009 00CA 0693 1AE2 34B2 41E0 447B 3D68 2EE7 1C28 05FE 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0001 004B 0430 1461 36EA 5461 5C93 5C86 5765 4B34 3640 15D4 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0012 0189 0C04 2A6B 5550 6E04 734F 7539 7386 6A07 554D 306D 081F 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0013 0167 0935 2048 47F3 6E6A 7DF8 7AF7 7496 77A4 7C69 720E 50ED 22AF 0116 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 003F 0492 16C2 3AB0 6305 7BA7 7C15 69FF 5B55 63F3 7839 7F7E 6D7F 4477 166D 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 003C 039D 10A8 2D70 5545 725C 76CD 663A 4B3D 3E41 4A57 6467 7C37 808D 657F 3006 010D 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 000E 016A 0D10 27A2 498F 6837 7051 6111 4888 3036 2764 3080 4944 6B91 8463 7C8F 4713 0A31 0000 0000 0000 0000 0000 
0000 0000 0000 0001 0019 00F6 0744 1FD8 44EB 62BD 6F90 60CB 4424 2C95 1AEB 11F8 14FE 2977 4FA8 79F0 88AE 5B2C 16A3 0000 0000 0000 0000 0000 
0000 0000 0000 0004 0079 0491 16FA 3CBA 5F91 6EBE 6674 4720 27DA 173D 0CED 05AC 05F0 128B 33FA 687C 8A2C 682A 215E 0000 0000 0000 0000 0000 
0000 0000 0000 000C 015A 0C73 2E53 59DC 7120 6CF0 516F 2B8A 12A9 094D 045B 00F7 012F 07FF 2290 59EA 8775 72EF 2D08 0000 0000 0000 0000 0000 
0000 0000 0000 0013 0240 1513 43E8 7002 7737 5E76 3839 17A9 0802 029E 00AE 000E 0059 0396 189B 4F04 82A7 794C 3452 0000 0000 0000 0000 0000 
0000 0000 0000 001E 0340 1CDF 5548 7FF8 778F 4ACD 20CA 0B5C 03B8 006C 0000 0000 0011 024E 16B2 4DE4 81F2 7895 3363 0000 0000 0000 0000 0000 
0000 0000 0000 0028 0428 230C 60B7 8A1C 74D5 3841 0E22 02D8 012B 0025 0000 0000 003B 0518 1F35 57C4 84AD 7326 2EC7 0000 0000 0000 0000 0000 
0000 0000 0000 0032 04F2 2603 6508 8D0A 6F13 29FE 0145 0000 0000 0000 0000 000C 012D 0C10 2F6A 658A 8452 6733 2607 00A7 0000 0000 0000 0000 
0000 0000 0000 0030 04B1 2426 6260 8BC2 6C42 2575 0000 0000 0000 0000 0008 00A7 0536 1989 44C5 712F 7A4A 50CB 188B 0000 0000 0000 0000 0000 
0000 0000 0000 002B 040E 1ED8 5B5B 8A86 6FF2 2B9E 0000 0000 0000 0016 00CD 04E1 1203 2FF3 5B57 76DF 672C 363B 0E1A 0000 0000 0000 0000 0000 
0000 0000 0000 0023 0327 1766 522E 8978 77AA 3961 09D2 0000 0050 03CD 0765 13A9 2C07 4C4D 6BC4 72AA 4FE0 206B 09E9 024F 0000 0000 0000 0000 
0000 0000 0000 001A 0237 1038 48FD 86BB 8119 50FE 26E7 13C7 11A9 168B 203B 3276 4A09 613F 6E1C 5F83 338F 0FD5 05F3 0251 0041 0000 0000 0000 
0000 0000 0000 000F 012F 0997 3956 7668 853F 694B 47A1 3256 2C00 3089 3BE2 4D05 5F61 6A82 62E2 4443 1C30 0646 0218 00DA 001A 0000 0000 0000 
0000 0000 0000 0005 0058 0530 2820 61E7 8739 7FBF 6650 5228 49B7 4C1B 5579 638D 6FBB 6CD2 5090 2A67 0EAF 033B 0000 000E 0000 0000 0000 0000 
0000 0000 0000 0000 0000 02FC 1963 4961 78F4 862F 7DA0 710A 68D4 684E 6BEB 6F64 6FB8 5E98 3923 1766 0858 02A2 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0208 0E0C 303D 5CA4 77CB 7F0E 7A37 7353 7145 6E87 678B 5D9C 45F9 23E8 0BB5 0325 0071 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0081 0504 195C 3A35 572F 6400 63E4 60AA 5F2B 5914 4EDD 4347 2F56 16BE 06B4 00FE 0005 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0012 021E 0C5B 2040 36D7 442C 4750 469E 45BE 404F 375B 2C3D 1D13 0D7D 03B1 0026 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 007F 0371 0BF2 18F7 2442 29A5 2ACA 29FD 257A 1DE2 145F 0B3A 044E 00EA 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0064 0265 0631 0A43 0C9F 0D47 0CEB 0B48 0879 04FF 0233 0085 0000 0000 0000 0000 0000 0000 0000 0000 0000 
