0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01A2 040C 03C8 0224 00B2 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0898 10E5 10BC 0B79 04B3 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01E5 162E 2379 263E 1FC5 0FF8 012D 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 1694 2968 36F1 3CEA 38AE 22C9 089B 001B 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 1F6D 2FE2 39DE 4414 4DAE 4DD9 391D 1813 021F 001B 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 2395 4255 43FC 3C52 3FF1 4E6B 5610 4A21 2C2A 0D51 0283 0052 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 1B09 4CE2 5AFD 4B0D 31EB 2CA5 3CDF 4EDF 521A 404E 2230 0981 016B 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0B91 4998 696A 65D2 4286 1D58 1153 1F96 3ADC 51C2 53EA 3B23 1409 0319 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 3E51 6B7E 7078 56AC 294A 0769 0000 0147 2246 4D1D 64B9 4FA4 1E02 04A7 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 3306 674F 739E 577A 3114 0E8E 0000 0000 0000 0D6B 43DF 6BA7 5B56 249C 05B0 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 272F 5FAB 770A 5E6D 2FDE 123D 01C5 0000 0000 0000 0000 338F 67A6 5FF8 2A06 06AA 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 1561 56E6 76DB 68F4 39BE 1180 03F0 0000 0000 0000 0000 0000 20B7 5E26 629B 3367 087D 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 4662 75C6 727C 489B 19FC 040B 005F 0000 0000 0000 0000 0000 13AB 582D 67ED 3E28 0A77 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 1947 6750 7F2B 5BF8 2794 081D 009C 0000 0000 0000 0000 0000 0000 12E1 5D16 6F45 41D6 0AEE 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 2D58 7443 7880 426E 1174 0176 0011 0000 0000 0000 0000 0000 0000 1F2B 69DD 728F 3B9E 098A 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 3363 741D 6D92 31FB 081D 0011 0000 0000 0000 0000 0000 0000 0000 36AD 7621 6C83 2ED7 0726 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 3145 6FA3 6763 2D9C 070E 0000 0000 0000 0000 0000 0000 0000 016C 52CE 79BD 5C84 20EB 04CB 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 2886 68EA 6432 30DE 0AC3 002B 0000 0000 0000 0000 0000 0000 29C5 6C80 73D3 4476 142B 02C5 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 1909 5DF8 600B 372C 1182 00BC 0000 0000 0000 0000 0000 0A06 5286 7ACC 62A6 282E 09A6 0137 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 058E 4BA9 53BE 3770 1755 0211 0000 0000 0000 0000 0000 3BFB 7067 7458 438E 102A 0314 0057 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 324D 4265 3373 1BE9 06EA 0000 0000 0000 025A 3314 665C 77AB 597A 2311 03B3 0086 000B 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 1487 3064 313B 2426 137F 049B 0183 1132 35F1 6163 7C4A 688E 362D 0D18 0051 0005 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 212B 2FDB 2E9E 276A 2421 2C8F 41A7 5E05 772A 7446 48D1 17EA 033C 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 1A0F 2F9E 397E 3D86 4268 4D41 5C41 6904 6C9D 5339 2609 06E5 006A 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 14FF 2B94 3B85 440C 498C 521A 595A 57D7 4AA1 2CC6 0E99 0144 0005 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0339 1201 248B 31CD 38C0 3CB2 40A0 3ED4 346F 23A4 102F 0390 001C 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 040F 0D94 1800 1E4A 214D 21B3 2051 1AD0 126A 09C8 032B 0067 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 001C 01EA 04DF 0771 08B4 0933 08BD 0780 054C 02E9 0122 0036 0000 0000 0000 0000 0000 0000 0000 0000 
