00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02 03 02 03 03 01 
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 0D 10 0D 11 12 09 
00 00 00 00 00 00 00 00 02 02 00 00 00 00 00 03 01 00 00 00 00 15 1F 22 21 2E 34 1D 
00 00 00 00 00 00 00 00 03 04 00 00 00 00 04 24 26 1C 12 0B 19 31 3D 3E 45 5A 5A 32 
00 00 00 00 00 00 00 00 15 11 00 00 00 11 37 56 59 4A 41 34 3B 4E 57 58 65 76 6A 36 
00 00 00 00 00 00 00 27 42 2D 1D 21 38 4F 61 75 74 62 54 42 42 51 58 5D 69 6F 57 27 
00 00 00 00 00 00 12 6E 75 51 4A 56 63 64 5F 64 5B 47 35 28 2B 38 3F 45 4A 44 2C 10 
00 00 00 FF 00 00 3A 90 86 60 5A 5A 57 4A 3A 35 26 18 0F 0E 13 18 1A 1C 1B 15 0B 03 
00 00 00 FF 00 00 31 6C 64 4B 46 3F 38 2C 22 20 12 0C 05 02 03 03 03 04 03 02 01 00 
00 00 00 C7 00 00 16 38 3B 33 33 2F 2E 29 2A 2E 27 23 10 04 00 00 00 00 00 00 00 00 
00 00 00 7B 00 00 0C 21 2B 2C 2F 2B 2D 30 39 42 48 47 2F 12 03 00 00 00 00 00 00 00 
00 00 00 3A 00 00 0A 18 23 2A 2F 2E 30 30 34 42 5F 68 56 30 0F 01 00 00 00 00 00 00 
00 00 00 0E 00 02 07 0F 18 1F 23 26 29 28 24 30 56 71 73 55 2A 0B 00 00 00 00 00 00 
00 00 00 00 00 00 02 06 0A 0C 0F 17 1B 18 0C 10 31 5B 80 79 4E 1C 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 00 04 0A 0A 04 00 00 02 32 7B 94 71 2F 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 05 03 01 00 00 00 00 00 0A 6B A0 8B 3F 03 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 18 0F 03 00 00 00 00 00 00 53 9D 99 4D 09 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 35 24 0A 00 00 00 00 00 00 39 96 A4 5B 0F 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 50 41 1B 05 00 00 00 00 00 2D 97 AF 66 13 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 58 5B 38 17 05 00 00 00 00 31 9E B6 6B 15 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 46 61 4D 29 0A 00 00 00 00 4A AB B8 69 13 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 29 51 4E 33 12 00 00 00 0B 73 BA B1 5D 0E 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 12 38 3C 30 1B 00 00 10 51 9D BD 99 45 08 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 09 23 2A 2E 2B 27 3C 61 85 A9 A1 6B 27 03 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 08 18 23 30 3D 4D 6B 81 85 87 68 37 10 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 01 06 0E 19 27 39 4D 62 65 5A 4B 2E 12 04 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 02 06 0D 17 26 31 36 30 24 18 0B 03 00 00 00 00 00 00 00 

