0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 001A 00CE 02FE 04E8 04B9 0479 048B 057C 07C8 097B 095D 0793 050B 040B 02DD 009F 0000 0000 
0000 0000 0000 0000 0008 0073 013B 011B 0032 0052 0221 06DD 10B2 17BF 165D 14FD 1539 18D9 2168 274F 265E 1F2B 1604 1298 0D98 036F 0000 0000 
0000 0000 0001 0017 00C3 0423 093E 084D 029D 0329 0C77 1C04 2E9F 36C8 32C5 2FB1 2F8B 333E 3C3D 41F8 402C 377A 2E41 2B5C 21B3 0BBE 0000 0000 
0000 0000 0014 016C 080A 1785 2598 236E 19A5 18A3 239D 3578 494F 510C 4879 3F3F 3A94 386C 40C9 4D3D 50E7 493D 40CD 3CA2 2C13 0C36 0000 0000 
0000 001F 0205 0A7A 1E2C 3706 4152 37D9 2C24 2B9C 3427 3E64 4B54 5379 4B7C 3FD0 3A1D 3749 4018 5035 5658 4F37 4739 416D 2EB4 0EE0 0000 0000 
0000 0040 04F4 175E 38CB 52FE 4E37 39BC 3007 31DD 37B0 3B2E 42DB 4CDA 48C2 3E66 3907 3602 3C61 49B3 4F4B 4B0B 45B8 4040 3014 15DB 035F 0000 
0000 005E 0716 20CA 4E2B 6B15 5AD3 406F 37C5 3837 3974 36B2 380F 3EFF 3BBA 336C 2D06 27CF 283E 2EAB 32EE 335B 32F8 3167 2762 160A 0793 014B 
0000 006B 078B 2360 5841 7C42 6E5E 5499 4A25 45D5 4002 3440 2BEC 29AC 2297 1A62 1300 0DFB 0D12 1120 156A 171C 1703 15E0 10EA 0924 02C3 0043 
0000 0091 0741 202E 5144 7731 71C0 5B86 4F7D 49E7 433D 354C 2866 1D93 11A6 0A07 03CD 0153 019B 027B 0340 0396 0394 0362 029E 016D 006C 0007 
0000 007F 0525 1660 3AC2 5C36 61CE 57CD 50AE 4CA9 4807 3F5A 37D7 2E79 22AD 1538 058F 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0040 0281 0BFE 22F0 3DF6 4CF3 4F61 4E81 4DC0 4ECC 4F7C 4F59 4952 3F1D 2F0A 1707 0204 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 000F 00C0 04A8 0FE1 21F5 32EE 3E43 451A 4A50 5030 54A0 56B1 59C8 5CD5 4F68 3319 1270 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 001A 0103 0487 0C86 175D 2315 2D58 3759 417D 49CF 4F57 5B7C 6AB1 6A2E 54C8 2FD1 0D61 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0005 005B 01D7 053D 0AD0 11B9 1A35 2425 2E4C 3820 49AB 6101 743F 7402 534D 23E6 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0020 011E 044C 0A41 11E7 1A78 2A7E 42B6 6686 FFFF80F5 70E4 3D3D 07F1 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 004D 03C0 06A5 02FF 0033 0049 0143 0443 0E0F 2212 4C05 79C4 FFFF80C9 5668 1684 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 00EE 0DC3 1791 09E8 0000 0000 0000 0075 02E2 0CB3 31EA 6A44 FFFF868F 6986 2591 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 01AF 19F9 2C5A 14C8 0000 0000 0000 0000 005C 04E0 2382 5D16 FFFF85C0 7290 2DED 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 028C 2579 4444 2BDE 0840 0000 0000 0000 0000 02CB 1D1E 5547 FFFF835F 7761 3413 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 03A1 2E44 5A0B 4B09 20E2 057E 0000 0000 0000 0440 2152 5959 FFFF84B4 79CD 3848 0006 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0415 2CB0 5E6A 638C 412E 1F7C 0E5E 0B2C 0D85 178B 376E 658B FFFF8443 74D0 357E 001B 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 03A6 22B5 5277 6A5A 5AB5 3F6F 2C1D 23EB 24D8 3166 4D96 6D34 7CC2 668F 2B9F 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 02C3 178B 3EE7 5F4E 61DC 558C 4725 3DE4 3F43 4827 5782 680F 6A32 4FEF 200A 0078 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 01E2 0D0D 27DD 4508 53C5 585B 53AE 4DC8 504D 529F 5460 59A1 52C5 3969 17F6 0380 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 008A 04AD 1312 26F7 39C1 48B8 4EA2 4FCE 533F 5088 4AC5 482F 3C8B 278B 11B2 0445 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0015 015A 0705 107A 1DB3 2C5C 370C 3E33 439F 4018 38B6 323B 26CF 17D4 0A8A 02A1 000A 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0044 0187 042A 09B7 11F5 1A6D 224A 280F 2656 2048 18A6 10A3 08BF 0354 00C0 0000 0000 0000 0000 0000 0000 0000 
