0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 001A 0133 05C9 0CFC 1110 0D36 037F 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0042 02E0 0B37 1DE7 3262 37FC 2658 0548 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 004F 02FA 1026 29CC 4AC1 5CC6 5143 2BF4 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0035 02E8 1001 313A 5621 6B5E 61F3 417E 12E8 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 000D 02AE 1020 3126 5CA3 6FB4 5D39 323B 0A0C 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 02BC 1094 311D 5BCC 7127 591C 1CA3 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 01EA 0EB8 2EFF 5984 6FC0 545C 1066 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 01C2 0C9C 2AD7 55A2 6DA9 5548 0C06 0000 0000 0000 0000 0000 05E5 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 001A 0867 243D 4F6F 6D28 5BAE 18E8 0000 0000 0000 0000 0000 0000 1241 0637 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 024F 18B6 44A8 68EA 6358 29FB 0000 0000 0000 0000 0000 0000 01E7 1838 10E9 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0A6D 3347 60EC 6983 3A62 0000 0000 0000 0000 0000 0000 0000 0242 13EF 1A75 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 001A 17C8 4AEC 69A3 5054 0000 0000 0000 0000 0000 0000 0000 0000 01FF 0F45 2761 1B01 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 001A 0244 295C 5A6E 6171 280D 0000 0000 0000 0000 0000 0000 0000 0000 016C 0C1D 3282 2DB1 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0057 0685 36BF 5D4D 4F45 00A6 0000 0000 0000 0000 0000 0000 0000 0000 0145 0E80 3CB3 38F1 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 00A0 0B40 3D2D 593E 3D0D 0000 0000 0000 0000 0000 0000 0000 0000 0000 02E0 153C 4652 3D16 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 00CA 0D99 3E0A 53ED 3180 0000 0000 0000 0000 0000 0000 0000 0000 001A 059B 1E86 4D77 34AF 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 00C6 0D29 3B10 4E27 2BC5 0000 0000 0000 0000 0000 0000 0000 0027 019F 0E16 3191 53C7 1F3C 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 00C0 0CBD 399B 4BF1 2AC1 0000 0000 0000 0000 0000 0000 00EE 0481 0D40 24B3 4AFA 4CC3 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 00B3 0BA3 35F8 4726 2AA0 0000 0000 0000 0000 0000 003B 088C 1746 2DD8 497F 58FB 2AAB 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0080 082A 28AF 355C 2498 0000 0000 0000 0000 0000 0B9F 22A6 3CA4 532A 5786 3925 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0038 036A 14CE 1B9A 1827 0957 0000 0000 0000 09DC 23FC 3E9C 4DD8 48D6 2517 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 030C 059F 0B70 119D 1043 0972 0A6B 13A6 2564 2EA4 1EA8 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0269 0B67 0D41 0876 0528 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 

