0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00C9 04EF 04E0 0223 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 078A 15E3 156E 09DD 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 1AB3 31C2 306B 1777 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0F23 3849 511D 4CC1 25AF 008D 0036 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 128D 31BD 4E27 5F49 59FB 315E 0985 037F 0036 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 21D7 41A8 48CC 4A10 4FF6 5322 3CB9 1D46 0BDF 00C0 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 2B54 5450 59E6 44E1 2D6D 2BD0 422E 4B2B 376D 1802 0186 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 2EB7 5E28 6C3C 5601 2E05 09BB 0925 3361 5786 4E71 232D 0243 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 29F0 60D5 7766 644F 3978 0FA9 0000 0000 2549 5522 5A32 2C21 047C 0052 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 1D2D 5832 78F9 7011 42F8 16C7 0000 0000 0000 10EE 41F1 58A1 367E 0B35 0179 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 1019 4D23 7435 7387 4E88 2132 055D 0000 0000 0000 0000 2757 4CD4 440B 17D3 03AD 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 4016 6FA2 770A 572A 2A77 0D78 00E2 0000 0000 0000 0000 0DE1 4052 5394 27D9 0674 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 2447 65D1 7D88 63B3 31E6 105F 0447 002F 0000 0000 0000 0000 0000 39B8 6159 35B3 08CE 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 476B 7A34 74FD 42D3 1258 034D 00BB 0008 0000 0000 0000 0000 0000 38CC 6AB1 3E00 0A2C 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0163 5C7C 7C24 6034 2745 036B 0000 0000 0000 0000 0000 0000 0000 0000 3D3E 6F4B 3F50 0A48 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0DB7 6393 7587 51DC 1C9B 008A 0000 0000 0000 0000 0000 0000 0000 0000 48F4 6E1E 37C5 08CA 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 1243 63FF 7142 4C94 19E1 000B 0000 0000 0000 0000 0000 0000 0000 0F08 5A2C 649E 2832 05ED 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 1273 6283 6F41 4BEC 1A8B 0096 0000 0000 0000 0000 0000 0000 0000 2E0E 67BB 50DB 1661 02E5 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0F07 5B3C 69C2 4C33 1E9C 0343 0000 0000 0000 0000 0000 0000 0F2A 4F58 663A 36C6 0915 00E1 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 06C6 45CB 58BE 4709 2442 08FE 0000 0000 0000 0000 0000 07E0 3F85 6382 5245 1E6F 02CA 001F 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 25B6 3D4A 3B79 2713 0DEE 0000 0000 0000 0000 136F 3D3D 5F5C 5CF4 34BC 0DDF 00E1 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0616 1DE6 2CAD 299C 1893 0955 0572 0E64 28F3 47BC 5C0B 5B50 3F7B 18F7 048D 0048 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0933 1FFC 2B30 2AFF 2D54 350A 41FD 52AC 5A5D 502E 38F6 1C5A 0727 00BB 000B 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0304 1975 2D7C 3F95 515B 5931 5683 4F74 3FE3 2931 14C2 06FF 00E0 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 03D2 157B 2C39 4591 5669 5186 3E1F 2AE9 193C 0B99 0412 00EB 000B 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 04CC 0FFB 2232 3475 398F 2BFC 192F 0CC3 0585 01D6 0071 0011 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 002B 0298 0952 131C 191A 166E 0D3F 056C 01DF 008E 001E 0002 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0004 00D9 02FA 0548 05A7 03F2 01AF 0066 000B 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
