00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 00 00 00 00 01 05 0A 11 14 12 0C 03 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 00 00 01 07 10 21 36 4A 52 48 2D 09 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 00 02 0D 29 4B 69 7A 7D 75 5F 3B 0C 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 04 18 40 73 91 95 87 67 40 25 18 03 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 01 0A 24 55 89 A8 9B 76 42 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 00 00 04 16 37 67 97 A9 8A 46 06 00 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 00 03 1A 48 7D A1 A2 76 18 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 00 0E 44 87 AE A0 63 0A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 00 22 71 AD A7 61 0D 00 00 00 00 00 1C 07 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 00 34 81 9F 77 1E 00 00 00 00 00 28 1F 00 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 00 30 60 66 40 00 00 00 00 00 0F 12 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 00 1A 28 1D 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 0D 2F 29 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 00 06 1B 40 68 6C 25 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 02 1D 56 91 9C 53 00 00 00 00 00 00 00 00 00 22 33 00 00 00 00 00 00 00 
00 00 00 01 10 4C 94 A8 60 00 00 00 00 00 00 00 00 00 2C 70 55 00 00 00 00 00 00 00 
00 00 00 05 31 87 B4 79 00 00 00 00 00 00 00 00 09 31 77 96 3D 00 00 00 00 00 00 00 
00 00 01 11 60 AC 9C 17 00 00 00 00 00 00 02 15 3C 78 A4 7D 00 00 00 00 00 00 00 00 
00 00 06 2C 8E AE 55 00 00 00 00 00 00 03 1C 4C 85 A5 87 18 00 00 00 00 00 00 00 00 
00 00 0B 4C A3 93 11 00 00 00 00 04 23 36 5C 8C A1 7E 16 00 00 00 00 00 00 00 00 00 
00 00 0F 5A 92 6E 00 00 00 00 0E 42 5B 6C 84 85 51 00 00 00 00 00 00 00 00 00 00 00 
00 00 0C 48 67 4D 08 00 00 06 43 5D 62 58 44 0F 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 06 22 31 28 0A 00 00 05 23 22 0A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 01 05 0A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
