00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 05 0A 0E 0F 0D 08 02 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 00 00 00 02 07 0F 1C 2E 3C 3F 37 24 0A 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 00 00 03 0F 26 3F 50 5F 6A 6A 60 4A 24 02 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 00 06 1A 3A 5B 71 7C 84 82 78 7A 77 50 14 00 00 00 00 00 
00 00 00 00 00 00 00 00 02 0C 23 48 6D 87 95 9E 9F 8E 86 A2 B1 7C 22 00 00 00 00 00 
00 00 00 00 00 00 00 06 17 31 52 79 96 A1 A5 B2 AE 98 9E CA D6 8F 26 00 00 00 00 00 
00 00 00 00 00 00 04 1B 41 63 80 9E AE A5 A3 BA B7 A0 A9 CA C4 7B 25 00 00 00 00 00 
00 00 00 00 00 01 10 3F 72 91 A6 BA B7 96 93 B9 BE AA A9 AD 8F 51 1D 07 00 00 00 00 
00 00 00 00 00 02 22 69 A0 B8 C6 CD B4 87 91 BC C5 B7 AC 96 63 2E 11 05 00 00 00 00 
00 00 00 00 00 03 32 8A C3 D5 DB D8 B8 91 9B BC C9 C7 BB 94 50 17 05 01 00 00 00 00 
00 00 00 00 00 03 33 8A C9 E0 E3 DC BF A3 A9 C0 D3 D7 C9 9E 56 13 00 00 00 00 00 00 
00 00 00 00 00 04 2A 6F A9 C4 D5 DD CE BB B7 BF CD D9 CF A9 6E 21 00 00 00 00 00 00 
00 00 00 00 00 03 1D 4C 7F A9 D4 EA DB BC A6 A3 B5 CA C1 A9 8F 47 00 00 00 00 00 00 
00 00 00 00 00 02 0E 2F 63 9F D5 E5 C5 99 81 7F 95 AB A3 A2 B2 7F 1C 00 00 00 00 00 
00 00 00 00 00 00 0B 2E 63 9C C2 BC 8F 66 56 58 6C 7C 7A 91 C6 B0 40 00 00 00 00 00 
00 00 00 00 00 04 1E 4E 79 93 97 80 5A 3D 32 31 3D 49 53 7F C9 C8 56 00 00 00 00 00 
00 00 00 00 02 13 45 7E 97 8E 73 53 34 1D 11 0E 17 22 38 77 C7 C9 5B 00 00 00 00 00 
00 00 00 00 07 31 7A A6 A0 76 4C 30 1B 0B 03 03 09 18 40 88 C8 B2 49 00 00 00 00 00 
00 00 00 03 15 58 A8 B8 90 53 2A 17 0B 02 00 06 17 38 69 A2 BD 8A 30 01 00 00 00 00 
00 00 00 08 2F 86 C3 AE 6B 2F 12 08 02 00 06 1D 44 6B 90 A7 99 5A 1C 04 00 00 00 00 
00 00 00 0E 4D AE D1 A4 56 1E 0C 11 17 1E 2E 4E 75 8F 9A 90 6B 37 13 05 00 00 00 00 
00 00 01 12 5F C1 D9 A8 60 32 29 37 42 4B 5C 74 87 8D 86 6E 45 21 0C 02 00 00 00 00 
00 00 01 13 5D BB DB B5 7D 59 54 61 67 66 6D 7A 7D 76 6A 4F 2B 13 05 00 00 00 00 00 
00 00 01 11 4B 9E CA B5 8B 70 6B 74 73 69 67 6E 69 5B 4A 30 15 06 00 00 00 00 00 00 
00 00 01 0B 31 70 9E 9C 85 73 6E 73 72 68 62 60 50 3B 28 16 07 01 00 00 00 00 00 00 
00 00 00 05 19 42 69 76 72 6E 6C 6C 65 56 49 3F 2D 1A 0C 05 01 00 00 00 00 00 00 00 
00 00 00 01 09 1E 37 47 4B 4C 4B 49 41 32 23 18 0E 06 01 00 00 00 00 00 00 00 00 00 
