0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0224 0344 03D5 02A2 00DB 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0AA5 0F36 1190 0C93 0482 001B 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0082 1B53 243B 29E5 1E6C 0B2B 0074 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 1DC4 3537 3BDA 454A 2E8E 0ED0 00A9 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0995 47EE 4696 434B 4D99 3543 1158 0095 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 3C8A 60A2 3E23 330D 3CAD 32A9 15D7 0167 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 1C3B 60A5 5769 1FDF 12D8 1E92 2C62 1E4F 06A5 0029 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 4524 69C3 3600 0096 0000 085B 2647 280F 1240 013E 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 1B5E 605F 5BAB 15FA 0000 0000 0000 1CF5 303C 21AA 042D 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 3BF5 6A46 449C 05D1 0000 0000 0000 1185 34F1 2F61 0A68 000D 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0968 536C 64E6 2D26 0071 0000 0000 0000 07D3 3247 37BF 15CD 0094 000D 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 241E 61FA 568A 1952 0000 0000 0000 0000 0000 2688 3A24 2537 032D 0041 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 3A2A 6708 448D 0B15 0000 0000 0000 0000 0000 1817 3A2F 3387 0721 008A 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 4A21 6449 337B 0332 0000 0000 0000 0000 0000 0CB6 3A14 3CE9 0AD4 00C8 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0A06 53CA 5DFF 2766 006F 0000 0000 0000 0000 0000 065F 39A3 40CC 0CBE 00E5 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 138F 57CF 57D2 20E7 0000 0000 0000 0000 0000 0000 034D 38C1 416B 0D29 00EB 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 17F2 57C7 5313 1DB5 0000 0000 0000 0000 0000 0000 0314 3A8F 41EA 0CFF 00DD 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 1863 567A 5049 1BFB 0000 0000 0000 0000 0000 0000 0A45 42DD 4203 0BE2 00C5 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 1754 54D5 4FA6 1C66 0000 0000 0000 0000 0000 0000 1DD5 4F95 3CBF 08E2 0091 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 129F 4F52 50CA 20D2 0000 0000 0000 0000 0000 0000 3D5C 55DC 2DDB 04FD 0054 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0B40 426C 4FE7 28D6 0000 0000 0000 0000 0000 2A50 558A 48FA 19EA 01D0 0020 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00AB 2A68 4076 2798 0000 0000 0000 0000 1E89 4E4B 5177 2CC1 09A0 0051 0005 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0F07 2450 1C01 0060 0000 0000 1E97 4A78 50DD 33C1 11D9 01FE 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0D33 13F9 10B6 1274 279D 497F 4EFC 3383 147A 0459 0035 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0755 1837 27AE 359A 440D 4755 2FA9 13C3 04C0 00A8 0002 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0CED 1F5D 30A0 37C5 343B 25AC 10EB 0468 0099 000E 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 02E2 0C52 16C3 1D88 1BD9 147E 0AE0 034E 007A 0005 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0011 01AB 049F 06FD 07A5 05FC 037C 0159 0040 0002 0000 0000 0000 0000 0000 0000 0000 0000 
