00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 FFFFFFF4 FFFFFF40 FFFFFBD3 FFFFF486 FFFFEC3E FFFFEAAC FFFFF4B0 00000319 00000EA9 00001255 00000AF6 000000B4 00000000 00000000 00000000 00000000 00000000 
00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 FFFFFFC4 FFFFFE8C FFFFFB6F FFFFF73B FFFFF1C5 FFFFE687 FFFFD222 FFFFBC9B FFFFC173 FFFFE67E 00001739 00003DD9 00004B4C 00003238 00000ABA 00000000 00000000 00000000 00000000 00000000 
00000000 00000000 00000000 00000000 00000000 00000000 FFFFFFF4 FFFFFF28 FFFFFBC7 FFFFF2ED FFFFE399 FFFFD54B FFFFC984 FFFFBEFC FFFFADAD FFFFA02C FFFFC2CF 000000F6 00004956 0000841B 00009CAF 00007904 00002E78 000000B4 00000000 00000000 00000000 00000000 
00000000 00000000 00000000 00000000 00000000 00000000 FFFFFF94 FFFFF999 FFFFE767 FFFFC732 FFFFA730 FFFFA445 FFFFB00F FFFFBD96 FFFFBFE0 FFFFCCD5 00000BDF 0000509E 0000936D 0000C9D6 0000E894 0000CD19 0000675D 0000068A 0000005A 00000000 00000000 00000000 
00000000 00000000 00000000 00000000 00000000 00000000 FFFFFD39 FFFFE953 FFFFBC49 FFFF8328 FFFF6C38 FFFF9F93 FFFFE60D 00001E20 00003FF8 00005C26 00008771 0000A789 0000B58B 0000CAB3 0000FF62 00011067 0000A649 00001F92 00000206 00000000 00000000 00000000 
00000000 00000000 00000000 00000000 00000000 00000000 FFFFFA27 FFFFD749 FFFF91AE FFFF4DC4 FFFF5FAD FFFFECA8 00007B61 0000CB8A 0000E0CC 0000D3D2 0000C416 0000A9D2 00007AFE 00007C98 0000E4C4 000134ED 0000DEF8 00004F88 00000536 00000000 00000000 00000000 
00000000 00000000 00000000 00000000 00000000 00000000 FFFFF896 FFFFCECF FFFF897F FFFF6204 FFFFAE44 00006EC1 00010B9B 00014093 00011CC6 0000D108 00009308 00004B47 FFFFFDCC 0000115C 0000BC68 000144FF 000113FA 0000864B 000008AE 00000000 00000000 00000000 
00000000 00000000 00000000 00000000 00000000 00000000 FFFFF926 FFFFD838 FFFFAFFC FFFFB4DB 00001799 0000BBF0 000124E7 00011FC4 0000CDA4 00007161 0000285E FFFFC950 FFFF8657 FFFFD2D4 0000BAE1 00015DB0 00014067 0000A257 00000A52 00000000 00000000 00000000 
00000000 00000000 00000000 00000000 00000000 00000000 FFFFFCAA FFFFECE2 FFFFE216 FFFFFA53 000045ED 0000A389 0000C4DB 00009ADF 000050BE 00000EF2 FFFFC64E FFFF66E4 FFFF4E9A FFFFE9D3 0000F1EC 00018274 00014E49 00009069 00000917 00000000 00000000 00000000 
00000000 00000000 00000000 00000000 00000000 00000000 FFFFFF1F FFFFFAA1 FFFFFD63 00001264 00003678 000052DE 00004D43 00003042 00001240 FFFFE922 FFFF9C61 FFFF448C FFFF5822 0000353D 000139A5 000199A4 00013189 00005DEE 000005E5 00000000 00000000 00000000 
00000000 00000000 00000000 00000000 00000000 00000000 FFFFFFE7 FFFFFF83 00000168 0000071C 00000E13 0000113B 00000D59 000006CE 00000175 FFFFDA50 FFFF88D5 FFFF406F FFFF7DAF 000084CC 00016CF0 0001923E 0000F651 00002B0B 000002B7 00000000 00000000 00000000 
00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 FFFFFFF4 FFFFFFAC FFFFFEF7 FFFFFDE3 FFFFFD1F FFFFFD82 FFFFFC06 FFFFCF1E FFFF7CE5 FFFF48E6 FFFFADD4 0000C5C0 00018429 00016EB6 0000B31F 00000C6C 000000C9 00000000 00000000 00000000 
00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 FFFFFEF8 FFFFFA29 FFFFEEB2 FFFFDD8A FFFFD1CB FFFFD753 FFFFE719 FFFFCF0C FFFF8BE1 FFFF7292 000000A0 00010A7E 00018ABB 000135DE 00007207 000001B3 0000001B 00000000 00000000 00000000 
00000000 00000000 00000000 00000000 00000000 00000000 FFFFFFDC FFFFFD0C FFFFF1D2 FFFFD9E0 FFFFBAB4 FFFFA529 FFFFA776 FFFFC5B1 FFFFEC3C FFFFED92 FFFFC426 FFFFD1FA 00007C36 00015184 00017D08 0000EDAE 00003BBC 00000000 00000000 00000000 00000000 00000000 
