0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 
0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 
0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 000000000109453D 00000000048BF770 0000000009BD6CB9 000000000D8D72F3 000000000EC5F63F 000000000F655E08 000000000E9450CB 0000000008CD81BD 0000000000204C2C FFFFFFFFFB3A5B1C FFFFFFFFFC73F780 FFFFFFFFFF507120 0000000000000000 0000000000000000 
0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 000000000109453D 00000000034DA45A 000000000CBBC213 0000000025BA9500 0000000046C9B431 000000005CFCD434 000000006219216A 0000000062C2BD5D 000000005A0FA7F2 00000000311CB9CE FFFFFFFFF97B41C0 FFFFFFFFDC3A46E9 FFFFFFFFE6418429 FFFFFFFFFAFF0400 FFFFFFFFFFD41C48 0000000000000000 
0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 000000000109453D 0000000013E074A8 00000000396823F5 0000000072F48F0D 00000000B786EE1E 00000000E4023819 00000000EDC2CBF6 00000000DC383BDF 00000000CEDF6C5B 00000000B40AA64F 00000000550FB7FD FFFFFFFFDF03B591 FFFFFFFF9EAB6D61 FFFFFFFFB0E932FB FFFFFFFFEB1F6B37 FFFFFFFFFD8371EC 0000000000000000 
0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 00000000006A1BB2 000000000927B395 00000000293E3D28 000000005A3AA6C6 00000000A1204DCE 00000000DA5D25A2 000000010FB1005E 00000001404CEDE0 000000014235C0CC 00000001249F078C 00000000F824D5A8 00000000DC074D21 00000000B70A20CD 000000003801689F FFFFFFFFA9DCF8C6 FFFFFFFF58959054 FFFFFFFF6A97EDC1 FFFFFFFFC2E2FADB FFFFFFFFF3A477C7 0000000000000000 
0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 00000000009F298B 000000000BADB614 000000003D43D6D0 00000000A3F59644 000000010533EEBF 000000014DBC7B0B 0000000153A6A34F 0000000141F370BE 0000000126EBF32D 00000000EBBB0131 00000000B8561B7D 000000008BD314CD 000000006C38F528 000000004AA39940 FFFFFFFFC34AE35C FFFFFFFF2C242831 FFFFFFFEE1A5E11E FFFFFFFF13AA8AF5 FFFFFFFF9B787A9E FFFFFFFFEB24E7AE 0000000000000000 
0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 00000000009F298B 000000000C770399 0000000041305768 00000000B802D98E 000000014E4E2928 0000000192F4DC79 0000000178DA9E3B 000000010085EE68 00000000792169C1 000000000F6043F3 FFFFFFFFD01F893A FFFFFFFFD0D86A63 FFFFFFFFE1A5DC18 FFFFFFFFDE6D2B9D FFFFFFFFB6A34B5F FFFFFFFF18B137A0 FFFFFFFE800FB628 FFFFFFFE64A16C31 FFFFFFFED879D333 FFFFFFFF8C50B9F6 FFFFFFFFE987ED4F 0000000000000000 
0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 000000000A06E8EC 000000003F018FCD 00000000B891A5CC 0000000154253765 00000001AD958DA4 000000016EC8963B 00000000B46C0149 FFFFFFFFC2F4602F FFFFFFFF002B4218 FFFFFFFEA714059A FFFFFFFEC42A9F3A FFFFFFFF2F646F3B FFFFFFFF9BAB3F30 FFFFFFFFC0E1D8B8 FFFFFFFF680E3590 FFFFFFFE7F7FBCBE FFFFFFFDEDE1D4E3 FFFFFFFE23E396D9 FFFFFFFEE04DF98D FFFFFFFF9E287CF3 FFFFFFFFEF2C8D50 0000000000000000 
0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 00000000006A1BB2 0000000026F096CD 00000000A0979DA6 0000000149E40166 00000001ACB2352E 000000015C02FE56 0000000075FB73EE FFFFFFFF4C894307 FFFFFFFE5F4F889A FFFFFFFDF98746BB FFFFFFFE173A7150 FFFFFFFE9D7C6184 FFFFFFFF49EABF1F FFFFFFFFE544BE5F 000000000BC21C66 FFFFFFFF565F170F FFFFFFFE23C94BA8 FFFFFFFDB5792968 FFFFFFFE3F7B0BD2 FFFFFFFF29173144 FFFFFFFFC62415B8 FFFFFFFFF84DCB76 0000000000000000 
0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000005B7AFFE 000000005D0360BA 000000010DBEBE0C 000000019DF5A34A 000000017CE011AD 000000007EF23ECB FFFFFFFF38879C4E FFFFFFFE226703C1 FFFFFFFDC3370493 FFFFFFFDFFABD62C FFFFFFFE7AB3B67F FFFFFFFF196D8A37 FFFFFFFFC4E43E1F 00000000632A77B0 0000000067958254 FFFFFFFF4FE71B85 FFFFFFFE19D8BE01 FFFFFFFDE3543ED0 FFFFFFFE9CD903C9 FFFFFFFF876BAAC7 FFFFFFFFE8D0A2BB FFFFFFFFFE398C51 0000000000000000 
