0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0006 0058 0139 022C 0297 02CC 0334 02E1 014A 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0006 0051 00FA 034D 092B 0F52 119C 1297 14B7 1266 07EE 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0006 00AA 05BA 0E72 180A 24B5 2D34 2E47 2E19 2FFB 2B97 15D5 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0002 004E 030C 0B14 14A5 1F82 2B18 356F 412A 47F4 47E7 47CA 4981 4514 2A13 06E4 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0003 0066 03D1 0FAA 23EC 33A7 3D1F 44E6 4B51 5400 5BEE 6052 62BF 6434 5F47 3E43 0D65 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0003 0069 0406 10A1 2840 42C9 505E 5271 5096 50A5 56D2 6440 73C2 7D51 7E7A 74FB 4A0F 1123 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0036 036D 1048 28D9 4604 5C77 6320 5B8A 4F1D 4AB6 4F4B 5FE3 78F8 8C19 8DC1 7895 455B 1223 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0002 00BE 0AC6 259F 46A5 602F 6BEB 68C9 5687 41D6 3A46 3BFF 4B5D 6B6E 8B18 902A 6BCC 3241 0E83 02DE 0041 0000 0000 
0000 0000 0000 0000 0000 001E 02BE 16AB 3E78 619C 706A 6952 5597 3DF4 2C44 2578 24F4 3334 5988 85DA 8F00 5BB7 1C54 057B 0157 0033 0000 0000 
0000 0000 0000 0000 0002 00B8 0A71 2CBC 5A1F 7643 75AE 58F3 382D 24F6 18D9 10E9 0E27 1B28 446A 7BC2 8C0C 51BF 1041 0000 0000 0000 0000 0000 
0000 0000 0000 0002 0044 036C 1988 47FA 7027 7E1C 6BE6 4000 1D65 11AD 0AEA 041D 02B3 0E7A 36E1 741E 8A75 5074 0D26 0000 0000 0000 0000 0000 
0000 0000 0000 0006 00C0 0865 2C50 60BE 7D0D 79B1 5740 28DB 0D9B 053C 026F 004B 0120 0EA1 39A0 761D 8979 50A0 0BDB 0000 0000 0000 0000 0000 
0000 0000 0000 000B 0150 0DF7 3D95 738E 8537 76C0 4EDF 23FE 0968 0000 0000 0038 0432 192D 4802 7A83 8029 47A1 0A6E 0000 0000 0000 0000 0000 
0000 0000 0000 0010 01DD 134D 4B5A 81D9 8CC2 768D 4B6C 217A 04E8 0000 0000 0152 0C55 2C09 59C6 7A99 6EB8 389C 0A24 0000 0000 0000 0000 0000 
0000 0000 0000 0018 02A3 1855 54B6 8952 8D96 6EDD 4015 183B 0079 0000 0000 076C 1DE6 4518 6993 73FC 5798 268E 0879 00AE 0000 0000 0000 0000 
0000 0002 0031 017A 07CD 22E8 5DF1 8BDC 894A 6343 3355 11D1 0306 007F 065E 187D 3967 5DBA 705B 63E5 3C58 15A5 050E 00DD 0029 0000 0000 0000 
0040 016B 042D 09F9 18FD 38AC 6806 89EF 857F 5FEC 307B 136B 0B35 0C89 1A2A 3592 5547 6B56 68E0 4AD1 2310 0AC1 0251 003C 000A 0000 0000 0000 
01DC 0990 1759 23E8 319A 4579 64EE 836E 8386 627E 36BF 1ED5 1D00 25B4 392C 51BA 6541 6772 52D0 2FD7 1354 06BB 019B 000D 0000 0000 0000 0000 
08A8 1E81 348F 39DB 35A6 383D 52C2 783A 83E9 6B4D 46CB 33D1 3414 3F45 5145 6114 63CD 542C 37DA 1B5F 0A3F 03B2 00C8 000E 0000 0000 0000 0000 
0CA2 28EF 3F69 3BC2 2CCD 2AC3 42FF 67C2 7B89 72E8 5CC3 4F8C 4F1F 573A 5DC5 5C1E 51D2 3C63 2332 0F7A 04E6 00A2 0000 0000 0000 0000 0000 0000 
0D32 285C 3C96 377D 2778 22B1 3323 4EA1 661E 6B7A 63D8 5DCE 5F22 6137 585D 4B1C 3C01 287A 157B 08AA 0219 0000 0000 0000 0000 0000 0000 0000 
0BCB 226D 33F0 3058 1FCD 15C9 1B5A 2EF9 4713 5537 59AC 5D2A 6284 5D63 49EB 37D9 2835 17F4 0A77 02E9 0043 0000 0000 0000 0000 0000 0000 0000 
0951 1808 2284 1D56 0F4C 05F8 0734 1423 26E4 36A4 4004 479E 4DC7 46A8 3385 22FD 15A9 0A66 0331 006C 0005 0000 0000 0000 0000 0000 0000 0000 
0317 0802 0B74 0954 0466 010E 015C 05D6 0E7A 18A2 219F 2A02 3030 2ACD 1CAA 0FC0 06C6 0234 007F 000E 0000 0000 0000 0000 0000 0000 0000 0000 
0088 0162 01F8 0196 00B3 0015 0025 00F6 02D0 056E 08D7 0DAD 11E8 0FBB 096D 03B9 0127 0031 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0015 009D 01F0 033D 02DD 0169 0023 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
