0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0042 0122 026F 0363 03B1 03D9 03A5 0233 0008 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0042 00D3 032E 096E 11B2 173F 1886 18B0 1683 0C47 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0042 04F8 0E5A 1CBD 2DE1 3900 3B70 370E 33B7 2D02 1543 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 001A 0249 0A4F 168E 2848 3697 43EC 5013 508D 4927 3E09 3701 2DC2 0E00 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0027 02EB 0F50 28FD 414C 536F 54E9 507C 49BA 3AEE 2E15 22F4 1B0E 12A8 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0027 031D 104C 2E00 5393 64BD 5E36 4021 1E48 03D8 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0281 0FC0 2E24 5509 6B65 5BB2 2D1B 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 001A 09BC 2825 5279 6B2C 5700 1D7E 0000 0000 0000 0000 0000 0000 0000 02F0 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 016D 1740 436F 677D 5F38 1FBC 0000 0000 0000 0000 0000 0000 0000 18CA 19E5 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 001A 0856 2ECA 5C68 679A 38F1 0000 0000 0000 0000 0000 0000 0000 0FDC 3273 2BC7 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 001A 0202 1902 4A4D 6880 52B0 04AE 0000 0000 0000 0000 0000 0000 0396 1D6A 3F02 379F 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0064 06A7 2EE6 5EB8 6595 3154 0000 0000 0000 0000 0000 0000 0000 085E 2590 4AE4 4177 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 00C5 0C88 3E55 6269 563A 1280 0000 0000 0000 0000 0000 0000 026F 1414 3AC2 59BB 3D2B 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0107 1082 417C 58A2 4304 0000 0000 0000 0000 0000 0000 0000 0AE6 2C8E 585A 5FC5 21EC 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 011A 11FF 3FF5 50D8 3749 0000 0000 0000 0000 0000 0000 0000 1F92 4BB8 676C 48CF 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 001A 010B 0598 1BF1 47B0 5071 2CCC 0000 0000 0000 0000 0000 0000 1167 4156 637C 5842 1263 0000 0000 0000 0000 0000 0000 0000 0000 0000 
012D 03FD 0A5B 19F5 3845 58C8 4EF2 1C35 0000 0000 0000 0000 0000 0C44 3A85 60A5 5F66 2882 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
08C8 18D4 2C45 40DF 4B8A 4AFD 33AD 07D6 0000 0000 0000 0000 0A90 3B32 5ACE 5E12 31B9 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
1FEB 405B 4F36 44A5 211E 098A 00C2 0000 0000 0000 0000 0585 2E62 4C15 4C9D 2931 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
2E30 4A1A 3F95 0E77 0000 0000 0000 0000 0000 0000 033B 1633 2B42 29B3 0755 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
2609 29F0 059E 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0B7D 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 

