0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00BC 0183 0116 0036 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0654 0B65 0828 019C 000D 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0559 14AE 2099 1A1F 06CE 00CA 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 03A7 090D 15E4 2AAB 3AE6 3262 13FA 040C 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 01DF 0FA1 18A5 1ED7 2ED3 45EA 56FB 4AF7 21C4 0763 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0453 1503 20B8 2483 2560 2750 2FD3 45CE 5E5E 6DB0 59DD 26D8 0803 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 1840 3A41 4993 44D4 3564 2423 1E46 2D65 50E7 7179 7A37 5698 1F3E 055E 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 2268 4E60 6486 601B 449F 2754 0C97 0440 1E89 54DB 7F49 77C0 3F89 1126 0219 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 222D 563B 6E2E 68D7 4E94 2AA4 0CA7 0000 0000 110A 5678 828D 66B0 2381 069F 006C 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 12E8 521D 76AE 6F81 4AF3 28D2 0D58 0000 0000 0000 06D9 51C7 7CD7 5611 145B 02B9 0008 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 3E33 720E 7C30 55C2 22DF 0BB7 0000 0000 0000 0000 0000 48BA 7450 4EB4 13FA 02BF 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 1D7F 5FC2 7D96 688A 3240 0B09 0161 0000 0000 0000 0000 0000 4587 7102 5101 195A 03BB 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 3B7A 6C45 73F0 4F0D 202D 09C7 0000 0000 0000 0000 0000 0564 51AB 7438 51C3 1A2B 03C2 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 4A07 69EA 65C8 4362 2270 0F67 0000 0000 0000 0000 0000 2277 683E 7568 467A 135C 028D 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 07AC 4F0B 6665 6155 455E 27B9 0E2D 0000 0000 0000 0000 0000 4A4C 7852 6872 2FA6 09EE 011E 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 122B 565D 6DFF 672C 4574 1FB1 01F1 0000 0000 0000 0000 2DC9 6AA9 74CA 4B9F 1867 0372 004A 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 22AA 6100 7739 660E 3619 0975 0000 0000 0000 0000 18E2 5939 75F7 5E4A 2B20 0990 00D4 0008 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 2D64 5DD8 68FA 4E87 1CA1 0000 0000 0000 0000 101E 4C2D 7264 69DF 3D30 1241 02B2 0028 0000 0000 0000 
0000 0000 0000 0000 0000 000C 0840 124C 2570 45DD 4D29 3704 1055 0000 0000 0000 1525 47CC 6DCB 6D98 499B 1D41 04B9 0068 0005 0000 0000 0000 
0000 0000 0000 0000 1BDA 3021 2753 14A9 1336 279A 31CC 28AF 142E 08F4 0ED8 28A1 4EDC 6931 6C51 4EBD 2562 092B 0078 0000 0000 0000 0000 0000 
0000 0000 0000 1378 406A 4564 26EF 08F9 050A 145A 22DE 2637 2347 29E8 3E5E 5A3A 69AA 63E4 4C46 2855 0CAE 01C4 0000 0000 0000 0000 0000 0000 
0000 0000 04A3 2869 3D52 2F6D 10AE 0000 00C2 0DBA 1D6A 2763 2EEF 3E5A 55FA 659A 5A10 4026 239C 0D13 0283 002F 0000 0000 0000 0000 0000 0000 
0000 0076 0DF3 1C00 1D22 103C 022B 0000 01C9 0B16 16AC 1F36 28A8 38D4 4A87 4A01 312D 19A4 0A03 0279 004C 0002 0000 0000 0000 0000 0000 0000 
0000 0187 0613 08E2 078A 034F 0000 0000 01D0 072D 0CEE 1121 18F5 241D 2A3D 20C4 0F42 05AC 017F 003D 0005 0000 0000 0000 0000 0000 0000 0000 
0001 0077 0131 015E 00F1 0052 0000 0000 00B5 01E4 02E8 0479 0946 0D4F 0D56 07B4 024D 0090 0014 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0075 01D1 024D 01C6 00A4 000E 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
