0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 004D 0157 0338 0583 07BA 097A 0A30 0947 06E6 03C0 013F 002B 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 004D 00FA 0386 0A31 151D 224D 2F33 391A 3CE3 37BA 2AC2 18BC 0901 015E 000A 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 004D 0542 0FF7 2270 38D9 4DC0 5E72 6BCC 741C 7753 702C 5F25 4186 1E59 0693 009F 0000 
0000 0000 0000 0000 0000 0000 0000 0000 001E 02AC 0C48 1D28 3340 47F2 5740 618E 6A01 6EC8 7426 76AF 780F 7997 75A8 63A3 3E3B 145E 032B 0000 
0000 0000 0000 0000 0000 0000 0000 002E 0331 0D84 217B 3B78 542A 655C 6857 5EC0 558D 4D56 4CAC 4E58 4F59 507C 5157 4D7D 3C2D 1A74 056F 0000 
0000 0000 0000 0000 0000 0000 002E 0350 0D7F 1F6F 33EF 470F 5167 4F8A 3EA4 21F2 0BB7 00D6 0643 15E2 1F8D 1CC2 1A58 1D27 1DF2 1066 041C 0000 
0000 0000 0000 0000 0000 0000 0297 0C42 1D83 305C 3C27 3E44 341B 1FF5 0405 0000 0000 0000 0000 0000 0000 0000 0000 0000 015F 00C1 007C 0000 
0000 0000 0000 0000 0000 001E 062B 1421 265B 3549 39BB 2D48 1219 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0172 08F4 1479 216E 2B09 28D4 121A 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 04DA 0000 0000 0000 0000 0000 
0000 0000 0000 0000 001E 06C8 1256 1E43 2657 25B4 1A59 042D 0000 0000 0000 0000 0000 0000 0000 0000 0000 0FAD 1C91 10D2 0000 0000 0000 0000 
0000 0000 0000 001E 0220 0D2B 1A76 2629 2916 1F91 0FA6 0000 0000 0000 0000 0000 0000 0000 0000 0000 024C 1C67 306B 258E 0957 0127 0000 0000 
0000 0000 0000 003D 03C2 0D4A 18B0 233B 2385 19C3 0B86 00BA 0000 0000 0000 0000 0283 088A 0A14 069B 0686 1740 2C60 2807 0F90 0254 0000 0000 
0000 0000 0000 0026 02A3 06F9 0D47 15BF 1F61 2AFD 2980 21F0 173D 0CCA 04B7 02D6 0CAC 1A83 1EF7 1413 03DA 0393 11CA 1685 0A53 01BB 0000 0000 
0000 0000 0000 0001 006F 01FD 043E 08EB 1688 2ACA 2C9E 2B72 22BD 1584 0BD0 0795 152B 2407 2AF7 1E70 099B 0000 0000 0140 0059 0038 0000 0000 
0000 0000 0000 000C 0114 027C 01A1 0042 0541 0F65 0D03 0F99 1056 0D02 0D7D 11AC 1FF3 2904 287A 1B32 0890 0000 0000 0000 0000 0000 0000 0000 
0000 001E 0139 0578 0D4B 129D 103E 06B6 0000 0000 0000 0000 0000 02F5 13EE 243D 307E 30D9 20B4 0C4E 0000 0000 0000 0000 0000 0000 0000 0000 
0162 04B1 0BB3 1A61 2AB5 338F 2E7C 1FDF 16AA 1816 136D 07A6 03C3 1239 2B2F 3C76 3F25 31C6 1784 0000 0000 0000 0000 0000 0000 0000 0000 0000 
080B 1804 2DC1 412A 44D6 3BEB 2C08 21E3 259F 3B0D 4EF1 55D5 54B5 552F 5767 4FDF 3DCA 21A6 058E 0000 0000 0000 0000 0000 0000 0000 0000 0000 
1588 2BB5 3DF0 3D6E 2A9F 0D43 0000 0000 0382 31CE 5DD4 7AB2 804B 745A 621E 4546 238D 029B 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
02F3 03A6 04AF 054E 0000 0000 0000 0000 0000 0000 2854 53FE 6430 5842 3BB5 15BD 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
010B 0000 0000 0000 0000 0000 0000 00DF 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0079 0032 0000 0000 0000 0000 0036 00E7 00E9 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 002D 00A7 00B7 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
