0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0CB7 1315 0F38 050C 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 18F9 4C1F 7218 7A92 6D03 547A 41E8 3116 281A 2536 1F2D 0FD1 0379 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 08DE 4085 6EC4 8D44 9E64 988E 8109 6474 549C 4634 3AB7 34AE 2A58 127C 03C8 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 1296 4534 6D4A 7EBF 7D07 7847 72AB 649F 5313 4A53 3BDC 2EA5 2835 1EC4 090A 0151 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0A5A 3BAF 5C21 6747 5D9C 43FD 3583 391C 3C3D 36D6 2C13 2018 150B 0FF6 0BEC 026B 0024 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 224A 46B1 5054 4723 31FB 1811 0F07 1A68 2754 24A4 0F01 02B1 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0C4F 2A12 3929 35B2 248A 0FDA 0540 03DD 0D91 19F0 1611 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0197 0ED2 133A 1118 0C3F 026F 0000 0000 0000 0000 02A5 0611 0000 01F6 0A93 06BD 0110 0019 0000 0000 
0000 0000 0000 0000 0000 0664 09FF 0CDB 0D01 0663 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0A5F 1C0E 262E 1D04 0AFE 0191 0000 0000 
0000 0000 0000 0042 0366 11B9 16FD 191C 1523 0A79 0632 0204 0039 0000 0000 0000 0000 0000 0000 03CF 1DD5 301A 31C2 223A 0B86 0198 0000 0000 
0000 0000 0000 0000 0000 0AB8 101A 15A3 1DFA 2542 2C7F 283C 1E68 0EB7 0000 0000 0000 0000 0000 1842 3153 3A46 2F6F 18FE 05FA 00BD 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0019 1786 2B93 3111 287B 18BB 0000 0000 0000 0000 0000 0ADD 2EA2 3E1C 3A47 25F8 0CDE 01B7 0024 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 099E 0463 0000 0000 0000 0000 0000 0000 0000 0000 29BA 4348 4433 32B3 1944 0594 0059 0000 0000 0000 
0000 0000 0000 0000 0000 0000 1E69 2CE8 191C 0000 0000 0000 0000 0000 0000 0000 0000 2973 4869 4CB9 3C0D 2117 0AFC 019B 0018 0000 0000 0000 
0000 0000 0000 0000 1271 47F7 6E76 714E 4C8D 11C7 0000 0000 0000 0000 0000 0495 3B29 5C4D 5A81 45F4 2927 0F72 0205 0000 0000 0000 0000 0000 
0969 15C5 27E7 4351 5B8A 7715 8AFD 8E72 7E3E 61CB 3DF6 1B3F 0C07 1922 3AE5 5D5E 72C9 6CE6 50E6 304F 152D 052E 0000 0000 0000 0000 0000 0000 
24C3 4384 59ED 633F 5DE6 5AC3 61DC 7117 837E 9334 95F6 8DC1 8980 8ADD 8E44 88A3 7547 533E 31C6 1699 066A 00A1 0000 0000 0000 0000 0000 0000 
2339 3A2E 42FC 3EE3 31C4 246D 2713 3CBD 5CBE 7CF1 9651 A40F A71B 9E41 8B76 6DD1 4AE4 2A86 1411 0660 00E3 000C 0000 0000 0000 0000 0000 0000 
0C86 14C9 15C4 13B3 0F33 08FB 0963 1609 2976 3F7A 5723 6BE1 7140 66BD 5238 3840 1E91 0CA2 0408 00E2 0018 0000 0000 0000 0000 0000 0000 0000 
0226 0396 0382 031D 026A 012F 0130 0401 0866 0EC5 1944 2582 26EC 22C3 1B76 1101 0669 01F2 0056 0000 0000 0000 0000 0000 0000 0000 0000 0000 
0000 0000 0000 0000 0000 0000 0000 0000 0000 0098 02BF 05E3 05D3 0522 0443 0268 003D 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 
